timestamp,elapsed_seconds,container,cpu_percent,memory_usage,memory_percent
2026-09-18T21:09:14.965517,0.0,tcc-monolith,0.33%,61.12MiB / 15.31GiB,0.39%
2026-09-18T21:09:16.969885,0.0,tcc-postgres,0.00%,51.86MiB / 15.31GiB,0.33%
2026-09-18T21:09:20.006688,5.0,tcc-monolith,0.29%,61.12MiB / 15.31GiB,0.39%
2026-09-18T21:09:22.010123,5.0,tcc-postgres,0.09%,51.86MiB / 15.31GiB,0.33%
2026-09-18T21:09:24.976965,10.0,tcc-monolith,4.24%,61.14MiB / 15.31GiB,0.39%
2026-09-18T21:09:26.986700,10.0,tcc-postgres,0.40%,51.86MiB / 15.31GiB,0.33%
2026-09-18T21:09:29.982782,15.0,tcc-monolith,4.05%,61.15MiB / 15.31GiB,0.39%
2026-09-18T21:09:31.993390,15.0,tcc-postgres,0.65%,51.85MiB / 15.31GiB,0.33%
2026-09-18T21:09:34.974186,20.0,tcc-monolith,6.90%,61.14MiB / 15.31GiB,0.39%
2026-09-18T21:09:36.987956,20.0,tcc-postgres,0.66%,51.86MiB / 15.31GiB,0.33%
2026-09-18T21:09:39.980994,25.0,tcc-monolith,5.23%,61.27MiB / 15.31GiB,0.39%
2026-09-18T21:09:41.990747,25.0,tcc-postgres,0.64%,51.85MiB / 15.31GiB,0.33%
2026-09-18T21:09:44.978926,30.0,tcc-monolith,7.61%,61.15MiB / 15.31GiB,0.39%
2026-09-18T21:09:46.988335,30.0,tcc-postgres,0.27%,51.85MiB / 15.31GiB,0.33%
2026-09-18T21:09:49.955602,35.0,tcc-monolith,8.91%,61.14MiB / 15.31GiB,0.39%
2026-09-18T21:09:51.964274,35.0,tcc-postgres,0.29%,51.85MiB / 15.31GiB,0.33%
2026-09-18T21:09:54.956601,40.0,tcc-monolith,3.36%,61.15MiB / 15.31GiB,0.39%
2026-09-18T21:09:56.964932,40.0,tcc-postgres,0.27%,51.85MiB / 15.31GiB,0.33%
2026-09-18T21:09:59.950888,45.0,tcc-monolith,3.82%,61.2MiB / 15.31GiB,0.39%
2026-09-18T21:10:01.958941,45.0,tcc-postgres,0.36%,51.85MiB / 15.31GiB,0.33%
2026-09-18T21:10:04.954158,50.0,tcc-monolith,2.45%,61.19MiB / 15.31GiB,0.39%
2026-09-18T21:10:06.961395,50.0,tcc-postgres,0.34%,51.85MiB / 15.31GiB,0.33%
2026-09-18T21:10:09.954777,55.0,tcc-monolith,5.74%,61.19MiB / 15.31GiB,0.39%
2026-09-18T21:10:11.962467,55.0,tcc-postgres,0.49%,51.86MiB / 15.31GiB,0.33%
2026-09-18T21:10:14.956203,60.0,tcc-monolith,3.13%,61.19MiB / 15.31GiB,0.39%
2026-09-18T21:10:16.966834,60.0,tcc-postgres,0.42%,51.85MiB / 15.31GiB,0.33%
2026-09-18T21:10:19.952397,65.0,tcc-monolith,3.95%,61.18MiB / 15.31GiB,0.39%
2026-09-18T21:10:21.960175,65.0,tcc-postgres,0.42%,51.85MiB / 15.31GiB,0.33%
2026-09-18T21:10:24.958442,70.0,tcc-monolith,4.94%,61.2MiB / 15.31GiB,0.39%
2026-09-18T21:10:26.966025,70.0,tcc-postgres,0.32%,51.85MiB / 15.31GiB,0.33%
2026-09-18T21:10:29.952850,75.0,tcc-monolith,4.07%,61.2MiB / 15.31GiB,0.39%
2026-09-18T21:10:31.962846,75.0,tcc-postgres,0.39%,51.86MiB / 15.31GiB,0.33%
2026-09-18T21:10:34.958954,80.0,tcc-monolith,3.68%,61.2MiB / 15.31GiB,0.39%
2026-09-18T21:10:36.966767,80.0,tcc-postgres,0.43%,51.85MiB / 15.31GiB,0.33%
2026-09-18T21:10:39.953777,85.0,tcc-monolith,3.00%,61.2MiB / 15.31GiB,0.39%
2026-09-18T21:10:41.963234,85.0,tcc-postgres,0.45%,51.85MiB / 15.31GiB,0.33%
2026-09-18T21:10:44.964817,90.0,tcc-monolith,5.36%,61.2MiB / 15.31GiB,0.39%
2026-09-18T21:10:46.973098,90.0,tcc-postgres,0.29%,51.86MiB / 15.31GiB,0.33%
2026-09-18T21:10:49.955518,95.0,tcc-monolith,2.52%,61.19MiB / 15.31GiB,0.39%
2026-09-18T21:10:51.964330,95.0,tcc-postgres,0.26%,51.84MiB / 15.31GiB,0.33%
2026-09-18T21:10:54.971610,100.0,tcc-monolith,2.71%,61.2MiB / 15.31GiB,0.39%
2026-09-18T21:10:56.978860,100.0,tcc-postgres,0.45%,51.86MiB / 15.31GiB,0.33%
2026-09-18T21:10:59.956211,105.0,tcc-monolith,5.27%,61.2MiB / 15.31GiB,0.39%
2026-09-18T21:11:01.964770,105.0,tcc-postgres,0.48%,51.85MiB / 15.31GiB,0.33%
2026-09-18T21:11:04.969473,110.0,tcc-monolith,4.62%,61.21MiB / 15.31GiB,0.39%
2026-09-18T21:11:06.978589,110.0,tcc-postgres,0.29%,51.86MiB / 15.31GiB,0.33%
2026-09-18T21:11:09.960134,115.0,tcc-monolith,2.86%,61.2MiB / 15.31GiB,0.39%
2026-09-18T21:11:11.969372,115.0,tcc-postgres,0.26%,51.84MiB / 15.31GiB,0.33%
