timestamp,elapsed_seconds,container,cpu_percent,memory_usage,memory_percent
2026-09-18T23:14:14.087823,0.0,tcc-product-service,0.32%,57.34MiB / 15.31GiB,0.37%
2026-09-18T23:14:16.090785,0.0,tcc-customer-service,0.29%,56.82MiB / 15.31GiB,0.36%
2026-09-18T23:14:18.101212,0.0,tcc-order-service,0.38%,62.54MiB / 15.31GiB,0.40%
2026-09-18T23:14:20.111061,0.0,tcc-postgres,0.01%,71.4MiB / 15.31GiB,0.46%
2026-09-18T23:14:22.115917,7.57,tcc-product-service,2.56%,57.36MiB / 15.31GiB,0.37%
2026-09-18T23:14:24.123981,7.57,tcc-customer-service,4.46%,57.02MiB / 15.31GiB,0.36%
2026-09-18T23:14:26.132679,7.57,tcc-order-service,14.78%,62.86MiB / 15.31GiB,0.40%
2026-09-18T23:14:28.135057,7.57,tcc-postgres,10.60%,74.49MiB / 15.31GiB,0.48%
2026-09-18T23:14:30.152916,15.6,tcc-product-service,22.49%,57.56MiB / 15.31GiB,0.37%
2026-09-18T23:14:32.153000,15.6,tcc-customer-service,9.01%,57.14MiB / 15.31GiB,0.36%
2026-09-18T23:14:34.159637,15.6,tcc-order-service,12.48%,63.37MiB / 15.31GiB,0.40%
2026-09-18T23:14:36.169017,15.6,tcc-postgres,3.88%,74.42MiB / 15.31GiB,0.47%
2026-09-18T23:14:38.175644,23.63,tcc-product-service,18.36%,57.84MiB / 15.31GiB,0.37%
2026-09-18T23:14:40.184083,23.63,tcc-customer-service,8.25%,57.2MiB / 15.31GiB,0.36%
2026-09-18T23:14:42.190483,23.63,tcc-order-service,13.11%,63.24MiB / 15.31GiB,0.40%
2026-09-18T23:14:44.199990,23.63,tcc-postgres,3.22%,74.48MiB / 15.31GiB,0.48%
2026-09-18T23:14:46.212042,31.66,tcc-product-service,13.19%,57.81MiB / 15.31GiB,0.37%
2026-09-18T23:14:48.218399,31.66,tcc-customer-service,8.63%,57.25MiB / 15.31GiB,0.37%
2026-09-18T23:14:50.227061,31.66,tcc-order-service,10.00%,63.39MiB / 15.31GiB,0.40%
2026-09-18T23:14:52.233207,31.66,tcc-postgres,3.49%,74.42MiB / 15.31GiB,0.47%
2026-09-18T23:14:54.239653,39.69,tcc-product-service,12.64%,58.02MiB / 15.31GiB,0.37%
2026-09-18T23:14:56.246303,39.69,tcc-customer-service,7.74%,57.29MiB / 15.31GiB,0.37%
2026-09-18T23:14:58.254338,39.69,tcc-order-service,19.28%,63.35MiB / 15.31GiB,0.40%
2026-09-18T23:15:00.264151,39.69,tcc-postgres,3.28%,74.43MiB / 15.31GiB,0.47%
2026-09-18T23:15:02.270659,47.72,tcc-product-service,14.93%,57.97MiB / 15.31GiB,0.37%
2026-09-18T23:15:04.276280,47.72,tcc-customer-service,8.81%,57.3MiB / 15.31GiB,0.37%
2026-09-18T23:15:06.284189,47.72,tcc-order-service,13.94%,63.41MiB / 15.31GiB,0.40%
2026-09-18T23:15:08.290727,47.72,tcc-postgres,4.42%,74.42MiB / 15.31GiB,0.47%
2026-09-18T23:15:10.297134,55.75,tcc-product-service,13.40%,58.02MiB / 15.31GiB,0.37%
2026-09-18T23:15:12.306196,55.75,tcc-customer-service,9.60%,57.4MiB / 15.31GiB,0.37%
2026-09-18T23:15:14.313364,55.75,tcc-order-service,12.58%,63.67MiB / 15.31GiB,0.41%
2026-09-18T23:15:16.321446,55.75,tcc-postgres,3.41%,74.42MiB / 15.31GiB,0.47%
2026-09-18T23:15:18.331539,63.78,tcc-product-service,15.10%,58MiB / 15.31GiB,0.37%
2026-09-18T23:15:20.339968,63.78,tcc-customer-service,9.37%,57.55MiB / 15.31GiB,0.37%
2026-09-18T23:15:22.350280,63.78,tcc-order-service,13.75%,63.51MiB / 15.31GiB,0.41%
2026-09-18T23:15:24.356929,63.78,tcc-postgres,11.40%,74.43MiB / 15.31GiB,0.47%
2026-09-18T23:15:26.363237,71.82,tcc-product-service,13.87%,58.01MiB / 15.31GiB,0.37%
2026-09-18T23:15:28.369557,71.82,tcc-customer-service,14.51%,57.45MiB / 15.31GiB,0.37%
2026-09-18T23:15:30.378135,71.82,tcc-order-service,15.41%,63.55MiB / 15.31GiB,0.41%
2026-09-18T23:15:32.386723,71.82,tcc-postgres,3.67%,74.42MiB / 15.31GiB,0.47%
2026-09-18T23:15:34.394291,79.85,tcc-product-service,11.00%,58.01MiB / 15.31GiB,0.37%
2026-09-18T23:15:36.403090,79.85,tcc-customer-service,9.37%,57.44MiB / 15.31GiB,0.37%
2026-09-18T23:15:38.407391,79.85,tcc-order-service,15.49%,63.7MiB / 15.31GiB,0.41%
2026-09-18T23:15:40.415488,79.85,tcc-postgres,3.62%,74.55MiB / 15.31GiB,0.48%
2026-09-18T23:15:42.424065,87.88,tcc-product-service,16.14%,58.02MiB / 15.31GiB,0.37%
2026-09-18T23:15:44.430013,87.88,tcc-customer-service,10.10%,57.54MiB / 15.31GiB,0.37%
2026-09-18T23:15:46.438710,87.88,tcc-order-service,13.50%,63.55MiB / 15.31GiB,0.41%
2026-09-18T23:15:48.445856,87.88,tcc-postgres,3.45%,74.42MiB / 15.31GiB,0.47%
2026-09-18T23:15:50.458779,95.91,tcc-product-service,14.86%,58.05MiB / 15.31GiB,0.37%
2026-09-18T23:15:52.464802,95.91,tcc-customer-service,7.87%,57.5MiB / 15.31GiB,0.37%
2026-09-18T23:15:54.471180,95.91,tcc-order-service,12.62%,63.54MiB / 15.31GiB,0.41%
2026-09-18T23:15:56.480414,95.91,tcc-postgres,3.49%,74.43MiB / 15.31GiB,0.47%
2026-09-18T23:15:58.487034,103.94,tcc-product-service,15.70%,58.13MiB / 15.31GiB,0.37%
2026-09-18T23:16:00.493640,103.94,tcc-customer-service,10.10%,57.64MiB / 15.31GiB,0.37%
2026-09-18T23:16:02.499623,103.94,tcc-order-service,17.54%,63.63MiB / 15.31GiB,0.41%
2026-09-18T23:16:04.508369,103.94,tcc-postgres,3.92%,74.55MiB / 15.31GiB,0.48%
2026-09-18T23:16:06.515217,111.97,tcc-product-service,15.96%,58.17MiB / 15.31GiB,0.37%
2026-09-18T23:16:08.522461,111.97,tcc-customer-service,6.36%,57.58MiB / 15.31GiB,0.37%
2026-09-18T23:16:10.531159,111.97,tcc-order-service,14.85%,63.95MiB / 15.31GiB,0.41%
2026-09-18T23:16:12.536321,111.97,tcc-postgres,3.86%,74.42MiB / 15.31GiB,0.47%
2026-09-18T23:16:14.543393,120.0,tcc-product-service,16.40%,58.59MiB / 15.31GiB,0.37%
2026-09-18T23:16:16.552879,120.0,tcc-customer-service,6.49%,57.73MiB / 15.31GiB,0.37%
2026-09-18T23:16:18.557954,120.0,tcc-order-service,11.96%,63.76MiB / 15.31GiB,0.41%
2026-09-18T23:16:20.566022,120.0,tcc-postgres,13.29%,74.42MiB / 15.31GiB,0.47%
