Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/customers/,188,0,9,9.081799085195483,5.906214999413351,21.72115099892835,67.0,1.5788672690693946,0.0,9,9,9,10,11,14,17,18,22,22,22
GET,/orders/,177,0,9,9.521643683684863,5.280893999952241,74.59697800004506,76.0,1.4864867373685258,0.0,9,9,9,10,12,16,19,21,75,75,75
GET,/orders/1,117,0,9,11.062119581314867,5.568528000367223,77.9307160009921,74.0,0.9825929280910594,0.0,9,10,11,11,18,22,24,26,78,78,78
GET,/products/,165,0,9,9.313496939295984,5.036146998463664,24.803557998893666,112.0,1.3857079755130324,0.0,9,9,9,10,13,16,19,24,25,25,25
GET,/products/1,130,0,9,9.653551438546296,5.771422000179882,29.453623999870615,110.0,1.091769920101177,0.0,9,9,10,10,12,16,20,23,29,29,29
,Aggregated,777,0,9,9.62505255217203,5.036146998463664,77.9307160009921,86.85456885456885,6.525424830143189,0.0,9,9,10,10,13,17,20,23,78,78,78
