timestamp,elapsed_seconds,container,cpu_percent,memory_usage,memory_percent
2026-09-18T21:03:22.603311,0.0,tcc-monolith,0.27%,60.7MiB / 15.31GiB,0.39%
2026-09-18T21:03:24.609733,0.0,tcc-postgres,0.01%,48.67MiB / 15.31GiB,0.31%
2026-09-18T21:03:27.606202,5.0,tcc-monolith,0.26%,60.7MiB / 15.31GiB,0.39%
2026-09-18T21:03:29.609921,5.0,tcc-postgres,0.00%,48.66MiB / 15.31GiB,0.31%
2026-09-18T21:03:32.613226,10.0,tcc-monolith,2.32%,60.88MiB / 15.31GiB,0.39%
2026-09-18T21:03:34.627780,10.0,tcc-postgres,1.22%,51.81MiB / 15.31GiB,0.33%
2026-09-18T21:03:37.608087,15.0,tcc-monolith,7.61%,61.06MiB / 15.31GiB,0.39%
2026-09-18T21:03:39.612862,15.0,tcc-postgres,0.73%,51.83MiB / 15.31GiB,0.33%
2026-09-18T21:03:42.605083,20.0,tcc-monolith,5.23%,61.07MiB / 15.31GiB,0.39%
2026-09-18T21:03:44.613465,20.0,tcc-postgres,0.46%,51.84MiB / 15.31GiB,0.33%
2026-09-18T21:03:47.622385,25.0,tcc-monolith,8.21%,61.03MiB / 15.31GiB,0.39%
2026-09-18T21:03:49.627087,25.0,tcc-postgres,0.33%,51.85MiB / 15.31GiB,0.33%
2026-09-18T21:03:52.638983,30.0,tcc-monolith,4.90%,61.16MiB / 15.31GiB,0.39%
2026-09-18T21:03:54.643566,30.0,tcc-postgres,0.61%,51.84MiB / 15.31GiB,0.33%
2026-09-18T21:03:57.604170,35.0,tcc-monolith,9.03%,61.05MiB / 15.31GiB,0.39%
2026-09-18T21:03:59.616539,35.0,tcc-postgres,0.49%,51.85MiB / 15.31GiB,0.33%
2026-09-18T21:04:02.599242,40.0,tcc-monolith,3.39%,61.18MiB / 15.31GiB,0.39%
2026-09-18T21:04:04.609182,40.0,tcc-postgres,0.47%,51.84MiB / 15.31GiB,0.33%
2026-09-18T21:04:07.597698,45.0,tcc-monolith,4.06%,61.07MiB / 15.31GiB,0.39%
2026-09-18T21:04:09.609986,45.0,tcc-postgres,0.71%,51.85MiB / 15.31GiB,0.33%
2026-09-18T21:04:12.634642,50.0,tcc-monolith,6.13%,61.08MiB / 15.31GiB,0.39%
2026-09-18T21:04:14.640671,50.0,tcc-postgres,0.81%,51.85MiB / 15.31GiB,0.33%
2026-09-18T21:04:17.605630,55.0,tcc-monolith,6.54%,61.14MiB / 15.31GiB,0.39%
2026-09-18T21:04:19.611208,55.0,tcc-postgres,0.62%,51.86MiB / 15.31GiB,0.33%
2026-09-18T21:04:22.637742,60.0,tcc-monolith,8.03%,61.14MiB / 15.31GiB,0.39%
2026-09-18T21:04:24.647623,60.0,tcc-postgres,0.66%,51.84MiB / 15.31GiB,0.33%
2026-09-18T21:04:27.632311,65.0,tcc-monolith,7.52%,61.14MiB / 15.31GiB,0.39%
2026-09-18T21:04:29.635042,65.0,tcc-postgres,0.84%,51.85MiB / 15.31GiB,0.33%
2026-09-18T21:04:32.606638,70.0,tcc-monolith,5.28%,61.15MiB / 15.31GiB,0.39%
2026-09-18T21:04:34.614766,70.0,tcc-postgres,0.57%,51.89MiB / 15.31GiB,0.33%
2026-09-18T21:04:37.630348,75.0,tcc-monolith,9.14%,61.23MiB / 15.31GiB,0.39%
2026-09-18T21:04:39.634092,75.0,tcc-postgres,0.73%,51.85MiB / 15.31GiB,0.33%
2026-09-18T21:04:42.600300,80.0,tcc-monolith,4.78%,61.11MiB / 15.31GiB,0.39%
2026-09-18T21:04:44.614419,80.0,tcc-postgres,0.39%,51.85MiB / 15.31GiB,0.33%
2026-09-18T21:04:47.658243,85.0,tcc-monolith,8.37%,61.15MiB / 15.31GiB,0.39%
2026-09-18T21:04:49.676413,85.0,tcc-postgres,1.03%,51.85MiB / 15.31GiB,0.33%
2026-09-18T21:04:52.625169,90.0,tcc-monolith,7.05%,61.15MiB / 15.31GiB,0.39%
2026-09-18T21:04:54.633308,90.0,tcc-postgres,0.29%,51.86MiB / 15.31GiB,0.33%
2026-09-18T21:04:57.595459,95.0,tcc-monolith,8.18%,61.13MiB / 15.31GiB,0.39%
2026-09-18T21:04:59.610232,95.0,tcc-postgres,0.65%,51.85MiB / 15.31GiB,0.33%
2026-09-18T21:05:02.606662,100.0,tcc-monolith,3.37%,61.13MiB / 15.31GiB,0.39%
2026-09-18T21:05:04.621139,100.0,tcc-postgres,0.46%,51.91MiB / 15.31GiB,0.33%
2026-09-18T21:05:07.616770,105.0,tcc-monolith,9.06%,61.14MiB / 15.31GiB,0.39%
2026-09-18T21:05:09.629296,105.0,tcc-postgres,4.93%,51.85MiB / 15.31GiB,0.33%
2026-09-18T21:05:12.603699,110.0,tcc-monolith,6.69%,61.14MiB / 15.31GiB,0.39%
2026-09-18T21:05:14.608056,110.0,tcc-postgres,6.67%,51.89MiB / 15.31GiB,0.33%
2026-09-18T21:05:17.603243,115.0,tcc-monolith,11.72%,61.14MiB / 15.31GiB,0.39%
2026-09-18T21:05:19.610960,115.0,tcc-postgres,13.97%,51.85MiB / 15.31GiB,0.33%
