Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/customers/,1762,0,9,11.092135063602518,4.401308999149478,116.43628999991051,67.0,14.77303624650756,0.0,9,11,12,12,16,20,36,46,95,120,120
GET,/orders/,1721,0,9,11.308859759452005,4.829956998946727,112.7110060006089,76.0,14.42928228163423,0.0,9,11,12,13,16,21,31,52,110,110,110
GET,/orders/1,1186,0,10,12.172270964580663,5.21425300030387,116.19001899998693,74.0,9.943712252189538,0.0,10,11,12,13,18,24,39,54,110,120,120
GET,/products/,1808,0,9,11.421109260477875,4.213353999148239,108.16063800120901,112.0,15.158711426609347,0.0,9,10,11,12,16,22,40,54,110,110,110
GET,/products/1,1158,0,10,11.785376341143191,5.232945999523508,105.31078799976967,110.0,9.70895344691019,0.0,10,11,12,13,17,21,32,41,79,110,110
,Aggregated,7635,0,9,11.491818511861823,4.213353999148239,116.43628999991051,87.29404060248854,64.01369565385086,0.0,9,11,12,13,17,22,35,51,110,120,120
