timestamp,elapsed_seconds,container,cpu_percent,memory_usage,memory_percent
2026-09-18T23:10:18.775208,0.0,tcc-product-service,0.18%,57.26MiB / 15.31GiB,0.37%
2026-09-18T23:10:20.781903,0.0,tcc-customer-service,0.20%,56.77MiB / 15.31GiB,0.36%
2026-09-18T23:10:22.787424,0.0,tcc-order-service,0.18%,62.5MiB / 15.31GiB,0.40%
2026-09-18T23:10:24.794423,0.0,tcc-postgres,0.00%,69.86MiB / 15.31GiB,0.45%
2026-09-18T23:10:26.800137,7.55,tcc-product-service,1.44%,57.27MiB / 15.31GiB,0.37%
2026-09-18T23:10:28.806016,7.55,tcc-customer-service,1.19%,56.78MiB / 15.31GiB,0.36%
2026-09-18T23:10:30.810928,7.55,tcc-order-service,3.77%,62.52MiB / 15.31GiB,0.40%
2026-09-18T23:10:32.817072,7.55,tcc-postgres,2.01%,71.39MiB / 15.31GiB,0.46%
2026-09-18T23:10:34.823071,15.58,tcc-product-service,2.96%,57.4MiB / 15.31GiB,0.37%
2026-09-18T23:10:36.829232,15.58,tcc-customer-service,3.13%,56.87MiB / 15.31GiB,0.36%
2026-09-18T23:10:38.835243,15.58,tcc-order-service,7.57%,62.56MiB / 15.31GiB,0.40%
2026-09-18T23:10:40.839559,15.58,tcc-postgres,1.73%,71.39MiB / 15.31GiB,0.46%
2026-09-18T23:10:42.847474,23.6,tcc-product-service,3.59%,57.36MiB / 15.31GiB,0.37%
2026-09-18T23:10:44.856061,23.6,tcc-customer-service,3.12%,56.87MiB / 15.31GiB,0.36%
2026-09-18T23:10:46.862313,23.6,tcc-order-service,7.48%,62.53MiB / 15.31GiB,0.40%
2026-09-18T23:10:48.870346,23.6,tcc-postgres,8.13%,71.43MiB / 15.31GiB,0.46%
2026-09-18T23:10:50.875371,31.63,tcc-product-service,5.46%,57.36MiB / 15.31GiB,0.37%
2026-09-18T23:10:52.881990,31.63,tcc-customer-service,1.77%,56.82MiB / 15.31GiB,0.36%
2026-09-18T23:10:54.887974,31.63,tcc-order-service,7.03%,62.55MiB / 15.31GiB,0.40%
2026-09-18T23:10:56.893596,31.63,tcc-postgres,1.76%,71.4MiB / 15.31GiB,0.46%
2026-09-18T23:10:58.900121,39.65,tcc-product-service,5.98%,57.39MiB / 15.31GiB,0.37%
2026-09-18T23:11:00.906920,39.65,tcc-customer-service,4.24%,56.83MiB / 15.31GiB,0.36%
2026-09-18T23:11:02.912068,39.65,tcc-order-service,6.27%,62.54MiB / 15.31GiB,0.40%
2026-09-18T23:11:04.919246,39.65,tcc-postgres,1.47%,71.41MiB / 15.31GiB,0.46%
2026-09-18T23:11:06.924817,47.68,tcc-product-service,4.11%,57.39MiB / 15.31GiB,0.37%
2026-09-18T23:11:08.930655,47.68,tcc-customer-service,3.37%,56.84MiB / 15.31GiB,0.36%
2026-09-18T23:11:10.939088,47.68,tcc-order-service,6.60%,62.55MiB / 15.31GiB,0.40%
2026-09-18T23:11:12.944683,47.68,tcc-postgres,1.58%,71.39MiB / 15.31GiB,0.46%
2026-09-18T23:11:14.952138,55.7,tcc-product-service,6.43%,57.41MiB / 15.31GiB,0.37%
2026-09-18T23:11:16.956908,55.7,tcc-customer-service,3.37%,56.93MiB / 15.31GiB,0.36%
2026-09-18T23:11:18.962923,55.7,tcc-order-service,6.83%,62.55MiB / 15.31GiB,0.40%
2026-09-18T23:11:20.970027,55.7,tcc-postgres,1.55%,71.39MiB / 15.31GiB,0.46%
2026-09-18T23:11:22.975832,63.73,tcc-product-service,7.92%,57.54MiB / 15.31GiB,0.37%
2026-09-18T23:11:24.981858,63.73,tcc-customer-service,4.20%,56.83MiB / 15.31GiB,0.36%
2026-09-18T23:11:26.987594,63.73,tcc-order-service,5.65%,62.54MiB / 15.31GiB,0.40%
2026-09-18T23:11:28.992335,63.73,tcc-postgres,2.55%,71.52MiB / 15.31GiB,0.46%
2026-09-18T23:11:30.998010,71.75,tcc-product-service,5.04%,57.5MiB / 15.31GiB,0.37%
2026-09-18T23:11:33.005099,71.75,tcc-customer-service,2.99%,56.83MiB / 15.31GiB,0.36%
2026-09-18T23:11:35.011081,71.75,tcc-order-service,7.50%,62.55MiB / 15.31GiB,0.40%
2026-09-18T23:11:37.016922,71.75,tcc-postgres,1.85%,71.39MiB / 15.31GiB,0.46%
2026-09-18T23:11:39.024094,79.78,tcc-product-service,6.42%,57.37MiB / 15.31GiB,0.37%
2026-09-18T23:11:41.030686,79.78,tcc-customer-service,2.60%,56.84MiB / 15.31GiB,0.36%
2026-09-18T23:11:43.037099,79.78,tcc-order-service,5.37%,62.66MiB / 15.31GiB,0.40%
2026-09-18T23:11:45.043501,79.78,tcc-postgres,10.87%,71.48MiB / 15.31GiB,0.46%
2026-09-18T23:11:47.051100,87.8,tcc-product-service,6.90%,57.51MiB / 15.31GiB,0.37%
2026-09-18T23:11:49.055936,87.8,tcc-customer-service,4.27%,56.84MiB / 15.31GiB,0.36%
2026-09-18T23:11:51.062005,87.8,tcc-order-service,5.12%,62.66MiB / 15.31GiB,0.40%
2026-09-18T23:11:53.069217,87.8,tcc-postgres,1.70%,71.39MiB / 15.31GiB,0.46%
2026-09-18T23:11:55.074934,95.83,tcc-product-service,4.77%,57.39MiB / 15.31GiB,0.37%
2026-09-18T23:11:57.081620,95.83,tcc-customer-service,4.92%,56.84MiB / 15.31GiB,0.36%
2026-09-18T23:11:59.087528,95.83,tcc-order-service,6.10%,62.57MiB / 15.31GiB,0.40%
2026-09-18T23:12:01.094984,95.83,tcc-postgres,1.59%,71.39MiB / 15.31GiB,0.46%
2026-09-18T23:12:03.101214,103.85,tcc-product-service,6.58%,57.54MiB / 15.31GiB,0.37%
2026-09-18T23:12:05.107194,103.85,tcc-customer-service,3.78%,56.86MiB / 15.31GiB,0.36%
2026-09-18T23:12:07.115658,103.85,tcc-order-service,6.40%,62.55MiB / 15.31GiB,0.40%
2026-09-18T23:12:09.120257,103.85,tcc-postgres,2.15%,71.4MiB / 15.31GiB,0.46%
2026-09-18T23:12:11.127360,111.88,tcc-product-service,6.23%,57.43MiB / 15.31GiB,0.37%
2026-09-18T23:12:13.133631,111.88,tcc-customer-service,4.28%,56.86MiB / 15.31GiB,0.36%
2026-09-18T23:12:15.138977,111.88,tcc-order-service,6.93%,62.57MiB / 15.31GiB,0.40%
2026-09-18T23:12:17.145075,111.88,tcc-postgres,1.84%,71.39MiB / 15.31GiB,0.46%
2026-09-18T23:12:19.153234,119.9,tcc-product-service,5.38%,57.39MiB / 15.31GiB,0.37%
2026-09-18T23:12:21.159282,119.9,tcc-customer-service,5.35%,56.88MiB / 15.31GiB,0.36%
2026-09-18T23:12:23.165677,119.9,tcc-order-service,10.74%,62.71MiB / 15.31GiB,0.40%
2026-09-18T23:12:25.172515,119.9,tcc-postgres,1.78%,71.39MiB / 15.31GiB,0.46%
