Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET customer-service /customers/,179,0,9,9.418114446958883,5.6042820015136385,21.97115700073482,69.0,1.5030355804508266,0.0,9,9,10,10,11,15,21,21,22,22,22
GET,GET order-service /orders/,173,0,9,9.543424537496637,4.882840999925975,43.934829998761415,76.0,1.4526544995418604,0.0,9,9,10,10,11,16,20,43,44,44,44
GET,GET order-service /orders/1,134,0,9,9.317734455316216,6.214246999661555,17.806686999392696,74.0,1.1251774736335798,0.0,9,10,10,10,11,13,16,16,18,18,18
GET,GET product-service /products/,163,0,9,9.235818601255623,5.563343000176246,20.435021999219316,110.0,1.36868603136025,0.0,9,9,10,10,11,16,19,20,20,20,20
GET,GET product-service /products/1,126,0,9,9.511474333305072,5.702950000340934,20.845192000706447,108.0,1.0580026990882914,0.0,9,10,10,10,11,13,20,20,21,21,21
,Aggregated,775,0,9,9.405568446459403,4.882840999925975,43.934829998761415,86.39096774193548,6.507556284074808,0.0,9,9,10,10,11,14,19,21,44,44,44
