Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/customers/,1707,0,10,12.328577650856143,4.438103000211413,147.26634299950092,67.0,14.307635530501996,0.0,10,11,13,14,19,26,37,48,150,150,150
GET,/orders/,1861,0,10,12.083571110167943,4.294307000236586,128.44283199956408,76.0,15.59842397320692,0.0,10,12,13,14,19,25,34,44,120,130,130
GET,/orders/1,1151,0,10,12.800773629044581,5.2023580010427395,89.3359009987762,74.0,9.647386347749148,0.0,10,12,14,15,21,27,34,45,88,89,89
GET,/products/,1771,0,10,12.030245477671638,4.050105999340303,147.41221399890492,112.0,14.84406709110664,0.0,10,11,12,14,18,25,34,50,150,150,150
GET,/products/1,1153,0,10,13.099858738075643,4.651123999792617,141.78518900007475,110.0,9.664149834018044,0.0,10,12,14,16,21,28,38,47,140,140,140
,Aggregated,7643,0,10,12.387256339005885,4.050105999340303,147.41221399890492,87.15962318461337,64.06166277658275,0.0,10,12,13,15,20,26,36,48,130,150,150
