timestamp,elapsed_seconds,container,cpu_percent,memory_usage,memory_percent
2026-09-18T22:43:44.416646,0.0,tcc-product-service,0.38%,55.75MiB / 15.31GiB,0.36%
2026-09-18T22:43:46.421670,0.0,tcc-customer-service,0.24%,55.58MiB / 15.31GiB,0.35%
2026-09-18T22:43:48.431681,0.0,tcc-order-service,0.31%,61.2MiB / 15.31GiB,0.39%
2026-09-18T22:43:50.446800,0.0,tcc-postgres,17.09%,62.27MiB / 15.31GiB,0.40%
2026-09-18T22:43:52.453148,7.57,tcc-product-service,0.28%,55.75MiB / 15.31GiB,0.36%
2026-09-18T22:43:54.464481,7.57,tcc-customer-service,1.99%,55.59MiB / 15.31GiB,0.35%
2026-09-18T22:43:56.469644,7.57,tcc-order-service,2.01%,61.22MiB / 15.31GiB,0.39%
2026-09-18T22:43:58.477690,7.57,tcc-postgres,1.00%,62.34MiB / 15.31GiB,0.40%
2026-09-18T22:44:00.482508,15.6,tcc-product-service,3.18%,55.77MiB / 15.31GiB,0.36%
2026-09-18T22:44:02.491865,15.6,tcc-customer-service,0.91%,55.61MiB / 15.31GiB,0.35%
2026-09-18T22:44:04.502546,15.6,tcc-order-service,1.51%,61.43MiB / 15.31GiB,0.39%
2026-09-18T22:44:06.510816,15.6,tcc-postgres,0.55%,62.27MiB / 15.31GiB,0.40%
2026-09-18T22:44:08.513996,23.63,tcc-product-service,0.56%,55.77MiB / 15.31GiB,0.36%
2026-09-18T22:44:10.524487,23.63,tcc-customer-service,0.63%,55.6MiB / 15.31GiB,0.35%
2026-09-18T22:44:12.532304,23.63,tcc-order-service,2.10%,61.2MiB / 15.31GiB,0.39%
2026-09-18T22:44:14.546051,23.63,tcc-postgres,0.48%,62.26MiB / 15.31GiB,0.40%
2026-09-18T22:44:16.555681,31.67,tcc-product-service,1.23%,55.77MiB / 15.31GiB,0.36%
2026-09-18T22:44:18.564416,31.67,tcc-customer-service,0.30%,55.59MiB / 15.31GiB,0.35%
2026-09-18T22:44:20.573610,31.67,tcc-order-service,1.91%,61.19MiB / 15.31GiB,0.39%
2026-09-18T22:44:22.585890,31.67,tcc-postgres,0.50%,62.28MiB / 15.31GiB,0.40%
