Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/customers/,1736,0,9,11.77270607199884,4.017213999759406,124.21357600032934,67.0,14.551238773398559,0.0,9,11,12,13,17,25,44,55,110,120,120
GET,/orders/,1772,0,9,11.677817189027431,4.202067000733223,141.14653899923724,76.0,14.852992572846915,0.0,9,11,12,13,17,24,36,53,120,140,140
GET,/orders/1,1172,0,10,12.458547341295542,4.459595000298577,153.03967900035786,74.0,9.823762582040962,0.0,10,11,13,14,19,24,45,56,90,150,150
GET,/products/,1721,0,9,11.625614378267345,3.9455310015910072,146.66922399919713,112.0,14.42550802362841,0.0,9,11,12,13,17,24,41,48,120,150,150
GET,/products/1,1230,0,10,12.207880871556416,4.646639999918989,155.3248070013069,110.0,10.309921481152204,0.0,10,11,13,14,18,25,41,52,87,160,160
,Aggregated,7631,0,10,11.892976425233583,3.9455310015910072,155.3248070013069,87.24465993971957,63.96342343306705,0.0,10,11,12,13,18,24,41,54,110,160,160
