Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/customers/,901,0,8,8.81752492119524,4.96667500010517,70.614892998492,67.0,7.558373730488288,0.0,8,9,9,10,11,12,15,24,71,71,71
GET,/orders/,860,0,8,9.056197890680947,4.681217000324978,66.60368799930438,76.0,7.214429975826779,0.0,8,9,9,10,11,12,15,33,67,67,67
GET,/orders/1,611,0,9,9.44504474626648,5.737554998631822,50.99046800023643,74.0,5.125600831662979,0.0,9,10,10,10,11,13,15,17,51,51,51
GET,/products/,870,0,8,8.84385784136967,5.3581550000672,65.69645600029617,112.0,7.298318696475928,0.0,8,9,9,10,11,12,17,21,66,66,66
GET,/products/1,586,0,9,9.347988834512666,5.80139900012,89.06380199914565,110.0,4.915879030040108,0.0,9,9,10,10,11,12,16,32,89,89,89
,Aggregated,3828,0,9,9.058495365456473,4.681217000324978,89.06380199914565,86.94905956112852,32.11260226449408,0.0,9,9,9,10,11,12,15,23,66,89,89
