timestamp,elapsed_seconds,container,cpu_percent,memory_usage,memory_percent
2026-09-18T22:05:40.977838,0.0,tcc-monolith,0.32%,65.11MiB / 15.31GiB,0.42%
2026-09-18T22:05:42.994481,0.0,tcc-postgres,0.00%,56.41MiB / 15.31GiB,0.36%
2026-09-18T22:05:46.016671,5.0,tcc-monolith,0.30%,65.11MiB / 15.31GiB,0.42%
2026-09-18T22:05:48.022301,5.0,tcc-postgres,0.00%,56.41MiB / 15.31GiB,0.36%
2026-09-18T22:05:50.979655,10.0,tcc-monolith,13.55%,65.33MiB / 15.31GiB,0.42%
2026-09-18T22:05:52.987469,10.0,tcc-postgres,7.94%,56.46MiB / 15.31GiB,0.36%
2026-09-18T22:05:55.973641,15.0,tcc-monolith,37.32%,65.63MiB / 15.31GiB,0.42%
2026-09-18T22:05:57.979485,15.0,tcc-postgres,9.61%,56.36MiB / 15.31GiB,0.36%
2026-09-18T22:06:00.992392,20.0,tcc-monolith,40.26%,66.08MiB / 15.31GiB,0.42%
2026-09-18T22:06:02.999144,20.0,tcc-postgres,4.84%,56.41MiB / 15.31GiB,0.36%
2026-09-18T22:06:05.985086,25.0,tcc-monolith,32.18%,65.86MiB / 15.31GiB,0.42%
2026-09-18T22:06:07.991287,25.0,tcc-postgres,3.64%,56.41MiB / 15.31GiB,0.36%
2026-09-18T22:06:10.976070,30.0,tcc-monolith,38.59%,65.46MiB / 15.31GiB,0.42%
2026-09-18T22:06:12.981477,30.0,tcc-postgres,4.47%,56.41MiB / 15.31GiB,0.36%
2026-09-18T22:06:15.978446,35.0,tcc-monolith,31.81%,65.82MiB / 15.31GiB,0.42%
2026-09-18T22:06:17.989053,35.0,tcc-postgres,3.79%,56.41MiB / 15.31GiB,0.36%
2026-09-18T22:06:20.969474,40.0,tcc-monolith,38.47%,65.58MiB / 15.31GiB,0.42%
2026-09-18T22:06:22.977702,40.0,tcc-postgres,3.37%,56.41MiB / 15.31GiB,0.36%
2026-09-18T22:06:25.981003,45.0,tcc-monolith,34.31%,65.33MiB / 15.31GiB,0.42%
2026-09-18T22:06:27.986399,45.0,tcc-postgres,3.42%,56.41MiB / 15.31GiB,0.36%
2026-09-18T22:06:30.976264,50.0,tcc-monolith,35.81%,65.34MiB / 15.31GiB,0.42%
2026-09-18T22:06:32.985329,50.0,tcc-postgres,3.61%,56.41MiB / 15.31GiB,0.36%
2026-09-18T22:06:35.977898,55.0,tcc-monolith,33.84%,65.58MiB / 15.31GiB,0.42%
2026-09-18T22:06:37.987716,55.0,tcc-postgres,3.21%,56.41MiB / 15.31GiB,0.36%
2026-09-18T22:06:40.978189,60.0,tcc-monolith,33.41%,65.69MiB / 15.31GiB,0.42%
2026-09-18T22:06:42.989085,60.0,tcc-postgres,3.81%,56.41MiB / 15.31GiB,0.36%
2026-09-18T22:06:45.976705,65.0,tcc-monolith,31.49%,65.45MiB / 15.31GiB,0.42%
2026-09-18T22:06:47.984691,65.0,tcc-postgres,3.74%,56.41MiB / 15.31GiB,0.36%
2026-09-18T22:06:50.982103,70.0,tcc-monolith,40.86%,65.33MiB / 15.31GiB,0.42%
2026-09-18T22:06:52.990749,70.0,tcc-postgres,3.90%,56.41MiB / 15.31GiB,0.36%
2026-09-18T22:06:55.975946,75.0,tcc-monolith,33.27%,65.34MiB / 15.31GiB,0.42%
2026-09-18T22:06:57.982738,75.0,tcc-postgres,5.12%,56.34MiB / 15.31GiB,0.36%
2026-09-18T22:07:00.997026,80.0,tcc-monolith,44.19%,65.42MiB / 15.31GiB,0.42%
2026-09-18T22:07:03.006910,80.0,tcc-postgres,4.84%,56.42MiB / 15.31GiB,0.36%
2026-09-18T22:07:05.982946,85.0,tcc-monolith,36.80%,65.43MiB / 15.31GiB,0.42%
2026-09-18T22:07:07.992157,85.0,tcc-postgres,4.54%,56.43MiB / 15.31GiB,0.36%
2026-09-18T22:07:10.975690,90.0,tcc-monolith,39.48%,65.33MiB / 15.31GiB,0.42%
2026-09-18T22:07:12.983342,90.0,tcc-postgres,5.53%,56.41MiB / 15.31GiB,0.36%
2026-09-18T22:07:15.972904,95.0,tcc-monolith,39.05%,65.36MiB / 15.31GiB,0.42%
2026-09-18T22:07:17.976385,95.0,tcc-postgres,3.28%,56.41MiB / 15.31GiB,0.36%
2026-09-18T22:07:20.968809,100.0,tcc-monolith,36.92%,65.48MiB / 15.31GiB,0.42%
2026-09-18T22:07:22.976643,100.0,tcc-postgres,3.19%,56.41MiB / 15.31GiB,0.36%
2026-09-18T22:07:25.975446,105.0,tcc-monolith,33.57%,65.35MiB / 15.31GiB,0.42%
2026-09-18T22:07:27.984079,105.0,tcc-postgres,3.80%,56.45MiB / 15.31GiB,0.36%
2026-09-18T22:07:30.978452,110.0,tcc-monolith,36.95%,65.71MiB / 15.31GiB,0.42%
2026-09-18T22:07:32.984797,110.0,tcc-postgres,6.22%,56.45MiB / 15.31GiB,0.36%
2026-09-18T22:07:35.977529,115.0,tcc-monolith,35.50%,65.57MiB / 15.31GiB,0.42%
2026-09-18T22:07:37.981307,115.0,tcc-postgres,4.03%,56.42MiB / 15.31GiB,0.36%
