Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET customer-service /customers/,885,0,9,8.907013285804329,4.832939001062186,25.27325099799782,69.0,7.424343272139195,0.0,9,9,10,10,11,12,15,16,25,25,25
GET,GET order-service /orders/,869,0,9,8.744476374085641,4.724386002635583,20.760071998665808,76.0,7.290117857049673,0.0,9,9,10,10,11,12,15,17,21,21,21
GET,GET order-service /orders/1,576,0,9,9.172489427195766,5.680054000549717,20.567964002111694,74.0,4.832114943222798,0.0,9,10,10,10,11,12,14,17,21,21,21
GET,GET product-service /products/,903,0,9,8.978502308950118,4.866085000685416,35.593837001215434,110.0,7.575346864114908,0.0,9,9,9,10,11,13,17,19,36,36,36
GET,GET product-service /products/1,591,0,9,9.402628807070444,5.549237997911405,23.45513100226526,108.0,4.957951269869225,0.0,9,10,10,10,12,13,17,19,23,23,23
,Aggregated,3824,0,9,9.003543893055074,4.724386002635583,35.593837001215434,87.05308577405857,32.0798742063958,0.0,9,9,10,10,11,12,16,17,25,36,36
