Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/customers/,860,0,9,10.385628362788804,4.756456999530201,59.13467299978947,67.0,7.213252231061964,0.0,9,10,11,12,16,20,26,30,59,59,59
GET,/orders/,909,0,9,10.543914085830114,4.730534999907832,59.85008399875369,76.0,7.62423985818061,0.0,9,10,11,11,16,22,30,32,60,60,60
GET,/orders/1,590,0,10,11.233836403344112,5.0835660003940575,80.33389000047464,74.0,4.948626530612278,0.0,10,11,12,13,16,21,29,39,80,80,80
GET,/products/,895,0,9,10.3597875027997,4.607453000062378,69.32991099893115,112.0,7.506814821860997,0.0,9,10,11,11,15,20,29,34,69,69,69
GET,/products/1,584,0,10,11.114590304835986,5.003042999305762,76.21573100004753,110.0,4.898301515046729,0.0,10,11,11,12,16,20,29,36,76,76,76
,Aggregated,3838,0,9,10.658403420276425,4.607453000062378,80.33389000047464,87.24439812402292,32.19123495676258,0.0,9,10,11,12,15,21,28,34,69,80,80
