Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET customer-service /customers/,1837,0,9,10.150148365274209,5.782926000392763,100.95912199903978,69.0,15.397617439556099,0.0,9,10,10,11,13,16,23,35,97,100,100
GET,GET order-service /orders/,1785,0,9,10.448579589335502,5.541938000533264,107.317611000326,76.0,14.961756739035186,0.0,9,10,10,11,13,17,28,45,110,110,110
GET,GET order-service /orders/1,1156,0,9,10.846908619402482,6.1830790000385605,101.70445800031302,74.0,9.689518650041835,0.0,9,10,11,11,13,16,24,47,100,100,100
GET,GET product-service /products/,1705,0,9,10.339033807674543,5.721244997403119,106.37604799921974,110.0,14.291201815156859,0.0,9,10,10,11,13,16,26,44,100,110,110
GET,GET product-service /products/1,1182,0,10,11.027479830734318,6.14026599942008,104.09668200009037,108.0,9.907449000302291,0.0,10,10,11,12,14,18,28,36,100,100,100
,Aggregated,7665,0,9,10.502034870191117,5.541938000533264,107.317611000326,86.51833007175473,64.24754364409227,0.0,9,10,11,11,13,17,26,41,100,110,110
