timestamp,elapsed_seconds,container,cpu_percent,memory_usage,memory_percent
2026-09-18T21:51:48.251437,0.0,tcc-monolith,0.36%,62.8MiB / 15.31GiB,0.40%
2026-09-18T21:51:50.261800,0.0,tcc-postgres,7.06%,56.43MiB / 15.31GiB,0.36%
2026-09-18T21:51:53.298244,5.0,tcc-monolith,0.39%,62.8MiB / 15.31GiB,0.40%
2026-09-18T21:51:55.313151,5.0,tcc-postgres,9.06%,56.39MiB / 15.31GiB,0.36%
2026-09-18T21:51:58.250792,10.0,tcc-monolith,13.28%,63.7MiB / 15.31GiB,0.41%
2026-09-18T21:52:00.259771,10.0,tcc-postgres,12.96%,56.52MiB / 15.31GiB,0.36%
2026-09-18T21:52:03.250381,15.0,tcc-monolith,34.78%,64.66MiB / 15.31GiB,0.41%
2026-09-18T21:52:05.257607,15.0,tcc-postgres,9.84%,56.44MiB / 15.31GiB,0.36%
2026-09-18T21:52:08.250721,20.0,tcc-monolith,38.28%,64.92MiB / 15.31GiB,0.41%
2026-09-18T21:52:10.258390,20.0,tcc-postgres,10.96%,56.43MiB / 15.31GiB,0.36%
2026-09-18T21:52:13.249208,25.0,tcc-monolith,37.92%,64.95MiB / 15.31GiB,0.41%
2026-09-18T21:52:15.255751,25.0,tcc-postgres,14.83%,56.41MiB / 15.31GiB,0.36%
2026-09-18T21:52:18.243857,30.0,tcc-monolith,40.34%,64.93MiB / 15.31GiB,0.41%
2026-09-18T21:52:20.251541,30.0,tcc-postgres,13.15%,57.45MiB / 15.31GiB,0.37%
2026-09-18T21:52:23.249151,35.0,tcc-monolith,33.05%,64.68MiB / 15.31GiB,0.41%
2026-09-18T21:52:25.258806,35.0,tcc-postgres,3.62%,56.4MiB / 15.31GiB,0.36%
2026-09-18T21:52:28.248389,40.0,tcc-monolith,37.27%,64.75MiB / 15.31GiB,0.41%
2026-09-18T21:52:30.255981,40.0,tcc-postgres,3.59%,56.4MiB / 15.31GiB,0.36%
2026-09-18T21:52:33.251174,45.0,tcc-monolith,29.66%,65MiB / 15.31GiB,0.41%
2026-09-18T21:52:35.259541,45.0,tcc-postgres,3.23%,56.4MiB / 15.31GiB,0.36%
2026-09-18T21:52:38.250854,50.0,tcc-monolith,31.43%,64.81MiB / 15.31GiB,0.41%
2026-09-18T21:52:40.259900,50.0,tcc-postgres,3.11%,56.4MiB / 15.31GiB,0.36%
2026-09-18T21:52:43.250321,55.0,tcc-monolith,34.79%,64.71MiB / 15.31GiB,0.41%
2026-09-18T21:52:45.256245,55.0,tcc-postgres,3.30%,56.4MiB / 15.31GiB,0.36%
2026-09-18T21:52:48.248208,60.0,tcc-monolith,31.54%,64.73MiB / 15.31GiB,0.41%
2026-09-18T21:52:50.254272,60.0,tcc-postgres,4.03%,56.4MiB / 15.31GiB,0.36%
2026-09-18T21:52:53.252541,65.0,tcc-monolith,42.65%,64.7MiB / 15.31GiB,0.41%
2026-09-18T21:52:55.259673,65.0,tcc-postgres,3.73%,56.4MiB / 15.31GiB,0.36%
2026-09-18T21:52:58.249090,70.0,tcc-monolith,29.74%,64.71MiB / 15.31GiB,0.41%
2026-09-18T21:53:00.254997,70.0,tcc-postgres,3.85%,56.41MiB / 15.31GiB,0.36%
2026-09-18T21:53:03.245529,75.0,tcc-monolith,32.01%,64.71MiB / 15.31GiB,0.41%
2026-09-18T21:53:05.251609,75.0,tcc-postgres,4.16%,56.4MiB / 15.31GiB,0.36%
2026-09-18T21:53:08.249971,80.0,tcc-monolith,33.58%,64.59MiB / 15.31GiB,0.41%
2026-09-18T21:53:10.257924,80.0,tcc-postgres,4.96%,56.4MiB / 15.31GiB,0.36%
2026-09-18T21:53:13.275823,85.0,tcc-monolith,49.65%,64.72MiB / 15.31GiB,0.41%
2026-09-18T21:53:15.282690,85.0,tcc-postgres,2.91%,56.39MiB / 15.31GiB,0.36%
2026-09-18T21:53:18.246708,90.0,tcc-monolith,31.25%,64.97MiB / 15.31GiB,0.41%
2026-09-18T21:53:20.254403,90.0,tcc-postgres,3.73%,56.39MiB / 15.31GiB,0.36%
2026-09-18T21:53:23.253514,95.0,tcc-monolith,34.08%,64.66MiB / 15.31GiB,0.41%
2026-09-18T21:53:25.260597,95.0,tcc-postgres,4.46%,56.45MiB / 15.31GiB,0.36%
2026-09-18T21:53:28.254794,100.0,tcc-monolith,41.65%,64.77MiB / 15.31GiB,0.41%
2026-09-18T21:53:30.264336,100.0,tcc-postgres,3.89%,56.41MiB / 15.31GiB,0.36%
2026-09-18T21:53:33.253824,105.0,tcc-monolith,38.04%,64.78MiB / 15.31GiB,0.41%
2026-09-18T21:53:35.264577,105.0,tcc-postgres,4.17%,56.42MiB / 15.31GiB,0.36%
2026-09-18T21:53:38.250181,110.0,tcc-monolith,29.82%,64.93MiB / 15.31GiB,0.41%
2026-09-18T21:53:40.258537,110.0,tcc-postgres,4.64%,56.41MiB / 15.31GiB,0.36%
2026-09-18T21:53:43.250076,115.0,tcc-monolith,36.14%,64.9MiB / 15.31GiB,0.41%
2026-09-18T21:53:45.254140,115.0,tcc-postgres,3.90%,56.42MiB / 15.31GiB,0.36%
