timestamp,elapsed_seconds,container,cpu_percent,memory_usage,memory_percent
2026-09-18T21:27:01.499862,0.0,tcc-monolith,0.31%,61.21MiB / 15.31GiB,0.39%
2026-09-18T21:27:03.503729,0.0,tcc-postgres,0.01%,51.85MiB / 15.31GiB,0.33%
2026-09-18T21:27:06.530891,5.0,tcc-monolith,0.34%,61.21MiB / 15.31GiB,0.39%
2026-09-18T21:27:08.538133,5.0,tcc-postgres,1.17%,51.86MiB / 15.31GiB,0.33%
2026-09-18T21:27:11.500111,10.0,tcc-monolith,2.46%,61.25MiB / 15.31GiB,0.39%
2026-09-18T21:27:13.515383,10.0,tcc-postgres,0.68%,51.86MiB / 15.31GiB,0.33%
2026-09-18T21:27:16.507205,15.0,tcc-monolith,8.60%,61.26MiB / 15.31GiB,0.39%
2026-09-18T21:27:18.514890,15.0,tcc-postgres,1.85%,51.86MiB / 15.31GiB,0.33%
2026-09-18T21:27:21.499164,20.0,tcc-monolith,5.73%,61.26MiB / 15.31GiB,0.39%
2026-09-18T21:27:23.510097,20.0,tcc-postgres,0.39%,51.87MiB / 15.31GiB,0.33%
2026-09-18T21:27:26.500221,25.0,tcc-monolith,4.74%,61.26MiB / 15.31GiB,0.39%
2026-09-18T21:27:28.508694,25.0,tcc-postgres,1.38%,51.88MiB / 15.31GiB,0.33%
2026-09-18T21:27:31.502522,30.0,tcc-monolith,3.46%,61.24MiB / 15.31GiB,0.39%
2026-09-18T21:27:33.512780,30.0,tcc-postgres,6.35%,51.87MiB / 15.31GiB,0.33%
2026-09-18T21:27:36.503292,35.0,tcc-monolith,5.20%,61.26MiB / 15.31GiB,0.39%
2026-09-18T21:27:38.512811,35.0,tcc-postgres,8.17%,51.87MiB / 15.31GiB,0.33%
2026-09-18T21:27:41.531763,40.0,tcc-monolith,4.62%,61.26MiB / 15.31GiB,0.39%
2026-09-18T21:27:43.535528,40.0,tcc-postgres,12.39%,51.86MiB / 15.31GiB,0.33%
2026-09-18T21:27:46.495822,45.0,tcc-monolith,3.36%,61.38MiB / 15.31GiB,0.39%
2026-09-18T21:27:48.506843,45.0,tcc-postgres,7.13%,51.86MiB / 15.31GiB,0.33%
2026-09-18T21:27:51.496048,50.0,tcc-monolith,4.41%,61.26MiB / 15.31GiB,0.39%
2026-09-18T21:27:53.501565,50.0,tcc-postgres,8.65%,51.94MiB / 15.31GiB,0.33%
2026-09-18T21:27:56.495213,55.0,tcc-monolith,3.84%,61.24MiB / 15.31GiB,0.39%
2026-09-18T21:27:58.503506,55.0,tcc-postgres,8.08%,51.9MiB / 15.31GiB,0.33%
2026-09-18T21:28:01.504519,60.0,tcc-monolith,3.93%,61.24MiB / 15.31GiB,0.39%
2026-09-18T21:28:03.509564,60.0,tcc-postgres,7.14%,51.86MiB / 15.31GiB,0.33%
2026-09-18T21:28:06.521954,65.0,tcc-monolith,3.13%,61.26MiB / 15.31GiB,0.39%
2026-09-18T21:28:08.532986,65.0,tcc-postgres,7.25%,52.01MiB / 15.31GiB,0.33%
2026-09-18T21:28:11.498934,70.0,tcc-monolith,4.66%,61.26MiB / 15.31GiB,0.39%
2026-09-18T21:28:13.508949,70.0,tcc-postgres,7.08%,51.89MiB / 15.31GiB,0.33%
2026-09-18T21:28:16.513632,75.0,tcc-monolith,2.75%,61.26MiB / 15.31GiB,0.39%
2026-09-18T21:28:18.521669,75.0,tcc-postgres,7.04%,51.87MiB / 15.31GiB,0.33%
2026-09-18T21:28:21.501654,80.0,tcc-monolith,4.26%,61.26MiB / 15.31GiB,0.39%
2026-09-18T21:28:23.509787,80.0,tcc-postgres,8.58%,52MiB / 15.31GiB,0.33%
2026-09-18T21:28:26.497362,85.0,tcc-monolith,4.19%,61.26MiB / 15.31GiB,0.39%
2026-09-18T21:28:28.501357,85.0,tcc-postgres,1.42%,53.61MiB / 15.31GiB,0.34%
2026-09-18T21:28:31.510456,90.0,tcc-monolith,3.86%,61.26MiB / 15.31GiB,0.39%
2026-09-18T21:28:33.521483,90.0,tcc-postgres,0.47%,51.85MiB / 15.31GiB,0.33%
2026-09-18T21:28:36.530871,95.0,tcc-monolith,4.26%,61.26MiB / 15.31GiB,0.39%
2026-09-18T21:28:38.539491,95.0,tcc-postgres,1.49%,51.85MiB / 15.31GiB,0.33%
2026-09-18T21:28:41.501564,100.0,tcc-monolith,4.83%,61.26MiB / 15.31GiB,0.39%
2026-09-18T21:28:43.510879,100.0,tcc-postgres,0.48%,51.85MiB / 15.31GiB,0.33%
2026-09-18T21:28:46.503176,105.0,tcc-monolith,5.84%,61.26MiB / 15.31GiB,0.39%
2026-09-18T21:28:48.510996,105.0,tcc-postgres,1.16%,51.85MiB / 15.31GiB,0.33%
2026-09-18T21:28:51.505629,110.0,tcc-monolith,4.04%,61.26MiB / 15.31GiB,0.39%
2026-09-18T21:28:53.513679,110.0,tcc-postgres,0.28%,51.97MiB / 15.31GiB,0.33%
2026-09-18T21:28:56.510919,115.0,tcc-monolith,5.39%,61.36MiB / 15.31GiB,0.39%
2026-09-18T21:28:58.522347,115.0,tcc-postgres,1.23%,51.85MiB / 15.31GiB,0.33%
