timestamp,elapsed_seconds,container,cpu_percent,memory_usage,memory_percent
2026-09-18T21:32:48.305336,0.0,tcc-monolith,0.29%,61.25MiB / 15.31GiB,0.39%
2026-09-18T21:32:50.314107,0.0,tcc-postgres,0.01%,51.86MiB / 15.31GiB,0.33%
2026-09-18T21:32:53.310627,5.0,tcc-monolith,0.29%,61.25MiB / 15.31GiB,0.39%
2026-09-18T21:32:55.313006,5.0,tcc-postgres,0.01%,51.86MiB / 15.31GiB,0.33%
2026-09-18T21:32:58.383193,10.0,tcc-monolith,6.83%,61.64MiB / 15.31GiB,0.39%
2026-09-18T21:33:00.389371,10.0,tcc-postgres,2.85%,54.47MiB / 15.31GiB,0.35%
2026-09-18T21:33:03.306202,15.0,tcc-monolith,14.71%,62.35MiB / 15.31GiB,0.40%
2026-09-18T21:33:05.315704,15.0,tcc-postgres,2.85%,56.39MiB / 15.31GiB,0.36%
2026-09-18T21:33:08.302420,20.0,tcc-monolith,18.17%,62.61MiB / 15.31GiB,0.40%
2026-09-18T21:33:10.312189,20.0,tcc-postgres,1.80%,56.39MiB / 15.31GiB,0.36%
2026-09-18T21:33:13.308001,25.0,tcc-monolith,16.44%,62.5MiB / 15.31GiB,0.40%
2026-09-18T21:33:15.316124,25.0,tcc-postgres,1.94%,56.38MiB / 15.31GiB,0.36%
2026-09-18T21:33:18.304433,30.0,tcc-monolith,17.82%,62.5MiB / 15.31GiB,0.40%
2026-09-18T21:33:20.312478,30.0,tcc-postgres,1.70%,56.39MiB / 15.31GiB,0.36%
2026-09-18T21:33:23.304976,35.0,tcc-monolith,15.87%,62.63MiB / 15.31GiB,0.40%
2026-09-18T21:33:25.312724,35.0,tcc-postgres,1.92%,56.38MiB / 15.31GiB,0.36%
2026-09-18T21:33:28.306030,40.0,tcc-monolith,16.55%,62.39MiB / 15.31GiB,0.40%
2026-09-18T21:33:30.316922,40.0,tcc-postgres,1.92%,56.39MiB / 15.31GiB,0.36%
2026-09-18T21:33:33.305134,45.0,tcc-monolith,16.19%,62.4MiB / 15.31GiB,0.40%
2026-09-18T21:33:35.313495,45.0,tcc-postgres,1.56%,56.45MiB / 15.31GiB,0.36%
2026-09-18T21:33:38.303557,50.0,tcc-monolith,15.72%,62.53MiB / 15.31GiB,0.40%
2026-09-18T21:33:40.312926,50.0,tcc-postgres,1.93%,56.45MiB / 15.31GiB,0.36%
2026-09-18T21:33:43.309952,55.0,tcc-monolith,15.49%,62.43MiB / 15.31GiB,0.40%
2026-09-18T21:33:45.316776,55.0,tcc-postgres,1.70%,56.45MiB / 15.31GiB,0.36%
2026-09-18T21:33:48.308815,60.0,tcc-monolith,16.64%,62.54MiB / 15.31GiB,0.40%
2026-09-18T21:33:50.316098,60.0,tcc-postgres,1.49%,56.43MiB / 15.31GiB,0.36%
2026-09-18T21:33:53.309552,65.0,tcc-monolith,17.38%,62.68MiB / 15.31GiB,0.40%
2026-09-18T21:33:55.316395,65.0,tcc-postgres,1.79%,56.38MiB / 15.31GiB,0.36%
2026-09-18T21:33:58.305452,70.0,tcc-monolith,18.83%,62.53MiB / 15.31GiB,0.40%
2026-09-18T21:34:00.314175,70.0,tcc-postgres,7.39%,56.41MiB / 15.31GiB,0.36%
2026-09-18T21:34:03.305744,75.0,tcc-monolith,17.47%,62.42MiB / 15.31GiB,0.40%
2026-09-18T21:34:05.312365,75.0,tcc-postgres,8.49%,56.4MiB / 15.31GiB,0.36%
2026-09-18T21:34:08.310896,80.0,tcc-monolith,18.16%,62.41MiB / 15.31GiB,0.40%
2026-09-18T21:34:10.317521,80.0,tcc-postgres,8.38%,56.39MiB / 15.31GiB,0.36%
2026-09-18T21:34:13.307129,85.0,tcc-monolith,15.76%,62.41MiB / 15.31GiB,0.40%
2026-09-18T21:34:15.311395,85.0,tcc-postgres,7.91%,56.45MiB / 15.31GiB,0.36%
2026-09-18T21:34:18.306188,90.0,tcc-monolith,16.81%,62.41MiB / 15.31GiB,0.40%
2026-09-18T21:34:20.316256,90.0,tcc-postgres,7.96%,56.41MiB / 15.31GiB,0.36%
2026-09-18T21:34:23.308372,95.0,tcc-monolith,19.85%,62.45MiB / 15.31GiB,0.40%
2026-09-18T21:34:25.315960,95.0,tcc-postgres,8.57%,56.44MiB / 15.31GiB,0.36%
2026-09-18T21:34:28.307378,100.0,tcc-monolith,16.45%,62.45MiB / 15.31GiB,0.40%
2026-09-18T21:34:30.314880,100.0,tcc-postgres,8.52%,56.44MiB / 15.31GiB,0.36%
2026-09-18T21:34:33.300452,105.0,tcc-monolith,17.26%,62.42MiB / 15.31GiB,0.40%
2026-09-18T21:34:35.309332,105.0,tcc-postgres,9.81%,56.54MiB / 15.31GiB,0.36%
2026-09-18T21:34:38.306352,110.0,tcc-monolith,14.63%,62.59MiB / 15.31GiB,0.40%
2026-09-18T21:34:40.316555,110.0,tcc-postgres,9.36%,56.48MiB / 15.31GiB,0.36%
2026-09-18T21:34:43.309487,115.0,tcc-monolith,19.43%,62.57MiB / 15.31GiB,0.40%
2026-09-18T21:34:45.316497,115.0,tcc-postgres,8.09%,56.48MiB / 15.31GiB,0.36%
