timestamp,elapsed_seconds,container,cpu_percent,memory_usage,memory_percent
2026-09-18T23:18:49.252542,0.0,tcc-product-service,0.41%,58.09MiB / 15.31GiB,0.37%
2026-09-18T23:18:51.267005,0.0,tcc-customer-service,0.35%,57.58MiB / 15.31GiB,0.37%
2026-09-18T23:18:53.271791,0.0,tcc-order-service,0.36%,63.52MiB / 15.31GiB,0.41%
2026-09-18T23:18:55.284916,0.0,tcc-postgres,0.55%,74.43MiB / 15.31GiB,0.47%
2026-09-18T23:18:57.288174,7.56,tcc-product-service,4.62%,58.27MiB / 15.31GiB,0.37%
2026-09-18T23:18:59.294741,7.56,tcc-customer-service,7.15%,57.64MiB / 15.31GiB,0.37%
2026-09-18T23:19:01.304088,7.56,tcc-order-service,13.30%,63.69MiB / 15.31GiB,0.41%
2026-09-18T23:19:03.309576,7.56,tcc-postgres,12.61%,74.49MiB / 15.31GiB,0.48%
2026-09-18T23:19:05.317946,15.59,tcc-product-service,9.89%,58.39MiB / 15.31GiB,0.37%
2026-09-18T23:19:07.324993,15.59,tcc-customer-service,8.59%,57.74MiB / 15.31GiB,0.37%
2026-09-18T23:19:09.334297,15.59,tcc-order-service,15.33%,63.75MiB / 15.31GiB,0.41%
2026-09-18T23:19:11.339447,15.59,tcc-postgres,4.23%,74.42MiB / 15.31GiB,0.47%
2026-09-18T23:19:13.349567,23.62,tcc-product-service,18.35%,58.35MiB / 15.31GiB,0.37%
2026-09-18T23:19:15.356891,23.62,tcc-customer-service,10.27%,57.72MiB / 15.31GiB,0.37%
2026-09-18T23:19:17.363556,23.62,tcc-order-service,21.80%,63.82MiB / 15.31GiB,0.41%
2026-09-18T23:19:19.370342,23.62,tcc-postgres,6.45%,74.46MiB / 15.31GiB,0.48%
2026-09-18T23:19:21.377688,31.65,tcc-product-service,22.94%,58.32MiB / 15.31GiB,0.37%
2026-09-18T23:19:23.385276,31.65,tcc-customer-service,10.01%,57.7MiB / 15.31GiB,0.37%
2026-09-18T23:19:25.393203,31.65,tcc-order-service,18.17%,63.7MiB / 15.31GiB,0.41%
2026-09-18T23:19:27.400112,31.65,tcc-postgres,3.90%,74.42MiB / 15.31GiB,0.47%
2026-09-18T23:19:29.407833,39.68,tcc-product-service,16.69%,58.32MiB / 15.31GiB,0.37%
