timestamp,elapsed_seconds,container,cpu_percent,memory_usage,memory_percent
2026-09-18T22:38:24.001918,0.0,tcc-product-service,0.38%,55.46MiB / 15.31GiB,0.35%
2026-09-18T22:38:26.004199,0.0,tcc-customer-service,0.28%,55.32MiB / 15.31GiB,0.35%
2026-09-18T22:38:28.024905,0.0,tcc-order-service,0.42%,60.74MiB / 15.31GiB,0.39%
2026-09-18T22:38:30.030314,0.0,tcc-postgres,0.00%,56.15MiB / 15.31GiB,0.36%
2026-09-18T22:38:32.043475,7.57,tcc-product-service,1.10%,55.49MiB / 15.31GiB,0.35%
2026-09-18T22:38:34.050707,7.57,tcc-customer-service,0.84%,55.47MiB / 15.31GiB,0.35%
2026-09-18T22:38:36.059490,7.57,tcc-order-service,1.45%,60.81MiB / 15.31GiB,0.39%
2026-09-18T22:38:38.067284,7.57,tcc-postgres,0.37%,57.63MiB / 15.31GiB,0.37%
2026-09-18T22:38:40.077723,15.61,tcc-product-service,1.47%,55.68MiB / 15.31GiB,0.36%
2026-09-18T22:38:42.085398,15.61,tcc-customer-service,0.33%,55.51MiB / 15.31GiB,0.35%
2026-09-18T22:38:44.093162,15.61,tcc-order-service,0.82%,60.97MiB / 15.31GiB,0.39%
2026-09-18T22:38:46.101773,15.61,tcc-postgres,0.91%,60.65MiB / 15.31GiB,0.39%
2026-09-18T22:38:48.113379,23.64,tcc-product-service,1.92%,55.71MiB / 15.31GiB,0.36%
2026-09-18T22:38:50.122373,23.64,tcc-customer-service,1.57%,55.49MiB / 15.31GiB,0.35%
2026-09-18T22:38:52.132826,23.64,tcc-order-service,3.98%,61.09MiB / 15.31GiB,0.39%
2026-09-18T22:38:54.140838,23.64,tcc-postgres,0.27%,60.72MiB / 15.31GiB,0.39%
2026-09-18T22:38:56.148933,31.68,tcc-product-service,2.51%,55.68MiB / 15.31GiB,0.36%
2026-09-18T22:38:58.157647,31.68,tcc-customer-service,0.86%,55.52MiB / 15.31GiB,0.35%
2026-09-18T22:39:00.164974,31.68,tcc-order-service,0.91%,60.96MiB / 15.31GiB,0.39%
2026-09-18T22:39:02.177127,31.68,tcc-postgres,0.31%,60.72MiB / 15.31GiB,0.39%
2026-09-18T22:39:04.180876,39.72,tcc-product-service,2.97%,55.72MiB / 15.31GiB,0.36%
2026-09-18T22:39:06.189075,39.72,tcc-customer-service,1.82%,55.52MiB / 15.31GiB,0.35%
2026-09-18T22:39:08.197675,39.72,tcc-order-service,0.94%,60.96MiB / 15.31GiB,0.39%
2026-09-18T22:39:10.205606,39.72,tcc-postgres,6.58%,60.77MiB / 15.31GiB,0.39%
2026-09-18T22:39:12.214271,47.75,tcc-product-service,2.05%,55.75MiB / 15.31GiB,0.36%
2026-09-18T22:39:14.220036,47.75,tcc-customer-service,0.98%,55.52MiB / 15.31GiB,0.35%
2026-09-18T22:39:16.227670,47.75,tcc-order-service,2.38%,60.99MiB / 15.31GiB,0.39%
2026-09-18T22:39:18.234733,47.75,tcc-postgres,0.34%,60.72MiB / 15.31GiB,0.39%
2026-09-18T22:39:20.244545,55.78,tcc-product-service,1.34%,55.72MiB / 15.31GiB,0.36%
2026-09-18T22:39:22.254791,55.78,tcc-customer-service,0.96%,55.54MiB / 15.31GiB,0.35%
2026-09-18T22:39:24.263921,55.78,tcc-order-service,2.00%,61MiB / 15.31GiB,0.39%
2026-09-18T22:39:26.271095,55.78,tcc-postgres,0.27%,60.73MiB / 15.31GiB,0.39%
2026-09-18T22:39:28.280778,63.81,tcc-product-service,2.44%,55.73MiB / 15.31GiB,0.36%
2026-09-18T22:39:30.288255,63.81,tcc-customer-service,0.77%,55.54MiB / 15.31GiB,0.35%
2026-09-18T22:39:32.293781,63.81,tcc-order-service,2.96%,61.07MiB / 15.31GiB,0.39%
2026-09-18T22:39:34.301971,63.81,tcc-postgres,0.33%,60.72MiB / 15.31GiB,0.39%
2026-09-18T22:39:36.309195,71.84,tcc-product-service,1.46%,55.74MiB / 15.31GiB,0.36%
2026-09-18T22:39:38.316046,71.84,tcc-customer-service,0.74%,55.69MiB / 15.31GiB,0.36%
2026-09-18T22:39:40.323090,71.84,tcc-order-service,1.51%,61.04MiB / 15.31GiB,0.39%
2026-09-18T22:39:42.331835,71.84,tcc-postgres,0.35%,60.72MiB / 15.31GiB,0.39%
2026-09-18T22:39:44.339336,79.87,tcc-product-service,2.41%,55.76MiB / 15.31GiB,0.36%
2026-09-18T22:39:46.348116,79.87,tcc-customer-service,0.40%,55.56MiB / 15.31GiB,0.35%
2026-09-18T22:39:48.351153,79.87,tcc-order-service,1.45%,61.04MiB / 15.31GiB,0.39%
2026-09-18T22:39:50.360620,79.87,tcc-postgres,7.49%,60.77MiB / 15.31GiB,0.39%
2026-09-18T22:39:52.366447,87.9,tcc-product-service,1.38%,55.75MiB / 15.31GiB,0.36%
2026-09-18T22:39:54.375252,87.9,tcc-customer-service,2.47%,55.69MiB / 15.31GiB,0.36%
2026-09-18T22:39:56.379473,87.9,tcc-order-service,0.88%,61.05MiB / 15.31GiB,0.39%
2026-09-18T22:39:58.387388,87.9,tcc-postgres,0.37%,61.09MiB / 15.31GiB,0.39%
2026-09-18T22:40:00.402056,95.93,tcc-product-service,1.29%,55.77MiB / 15.31GiB,0.36%
2026-09-18T22:40:02.410949,95.93,tcc-customer-service,0.43%,55.55MiB / 15.31GiB,0.35%
2026-09-18T22:40:04.416259,95.93,tcc-order-service,1.32%,61.07MiB / 15.31GiB,0.39%
2026-09-18T22:40:06.422887,95.93,tcc-postgres,6.38%,60.75MiB / 15.31GiB,0.39%
2026-09-18T22:40:08.431130,103.96,tcc-product-service,2.17%,55.75MiB / 15.31GiB,0.36%
2026-09-18T22:40:10.440895,103.96,tcc-customer-service,1.29%,55.57MiB / 15.31GiB,0.35%
2026-09-18T22:40:12.447176,103.96,tcc-order-service,0.28%,61.05MiB / 15.31GiB,0.39%
2026-09-18T22:40:14.454539,103.96,tcc-postgres,0.50%,60.72MiB / 15.31GiB,0.39%
2026-09-18T22:40:16.463828,112.0,tcc-product-service,2.13%,55.76MiB / 15.31GiB,0.36%
2026-09-18T22:40:18.471551,112.0,tcc-customer-service,2.04%,55.6MiB / 15.31GiB,0.35%
2026-09-18T22:40:20.478812,112.0,tcc-order-service,1.29%,61.23MiB / 15.31GiB,0.39%
2026-09-18T22:40:22.486814,112.0,tcc-postgres,0.48%,62.19MiB / 15.31GiB,0.40%
