Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET customer-service /customers/,184,0,9,9.688501999938165,5.253420998997171,31.09974800099735,69.0,1.5474573531848932,0.0,9,10,10,11,11,13,20,31,31,31,31
GET,GET order-service /orders/,170,0,9,9.380720829422524,4.817041000933386,25.834067999312538,76.0,1.4297160328338687,0.0,9,10,10,10,11,15,20,22,26,26,26
GET,GET order-service /orders/1,129,0,10,9.750874333359777,5.241697999736061,20.080505000805715,74.0,1.0849021660915827,0.0,10,10,10,11,12,14,17,19,20,20,20
GET,GET product-service /products/,187,0,9,9.390790021412117,5.159826001545298,19.459458000710583,110.0,1.5726876361172557,0.0,9,10,10,10,11,13,15,18,19,19,19
GET,GET product-service /products/1,112,0,10,9.876458098135897,5.428006001238828,17.901219998748275,108.0,0.9419305628081959,0.0,10,10,11,11,12,13,17,18,18,18,18
,Aggregated,782,0,9,9.587609640651086,4.817041000933386,31.09974800099735,86.73657289002557,6.576693751035796,0.0,9,10,10,11,11,13,17,20,31,31,31
