timestamp,elapsed_seconds,container,cpu_percent,memory_usage,memory_percent
2026-09-18T21:39:28.129672,0.0,tcc-monolith,0.36%,62.35MiB / 15.31GiB,0.40%
2026-09-18T21:39:30.135029,0.0,tcc-postgres,4.60%,58.71MiB / 15.31GiB,0.37%
2026-09-18T21:39:33.172521,5.0,tcc-monolith,0.41%,62.35MiB / 15.31GiB,0.40%
2026-09-18T21:39:35.175407,5.0,tcc-postgres,0.18%,56.39MiB / 15.31GiB,0.36%
2026-09-18T21:39:38.127106,10.0,tcc-monolith,7.04%,62.39MiB / 15.31GiB,0.40%
2026-09-18T21:39:40.141161,10.0,tcc-postgres,1.36%,56.41MiB / 15.31GiB,0.36%
2026-09-18T21:39:43.151612,15.0,tcc-monolith,24.50%,62.67MiB / 15.31GiB,0.40%
2026-09-18T21:39:45.153475,15.0,tcc-postgres,1.76%,56.41MiB / 15.31GiB,0.36%
2026-09-18T21:39:48.135972,20.0,tcc-monolith,26.93%,62.74MiB / 15.31GiB,0.40%
2026-09-18T21:39:50.139757,20.0,tcc-postgres,1.61%,56.41MiB / 15.31GiB,0.36%
2026-09-18T21:39:53.137599,25.0,tcc-monolith,15.45%,62.75MiB / 15.31GiB,0.40%
2026-09-18T21:39:55.143447,25.0,tcc-postgres,2.33%,56.41MiB / 15.31GiB,0.36%
2026-09-18T21:39:58.153473,30.0,tcc-monolith,22.73%,62.82MiB / 15.31GiB,0.40%
2026-09-18T21:40:00.157094,30.0,tcc-postgres,1.87%,56.41MiB / 15.31GiB,0.36%
2026-09-18T21:40:03.131011,35.0,tcc-monolith,15.12%,62.68MiB / 15.31GiB,0.40%
2026-09-18T21:40:05.138552,35.0,tcc-postgres,1.73%,56.41MiB / 15.31GiB,0.36%
2026-09-18T21:40:08.124552,40.0,tcc-monolith,22.03%,62.66MiB / 15.31GiB,0.40%
2026-09-18T21:40:10.136652,40.0,tcc-postgres,3.63%,56.41MiB / 15.31GiB,0.36%
2026-09-18T21:40:13.125123,45.0,tcc-monolith,20.18%,62.68MiB / 15.31GiB,0.40%
2026-09-18T21:40:15.130327,45.0,tcc-postgres,2.06%,56.41MiB / 15.31GiB,0.36%
2026-09-18T21:40:18.126015,50.0,tcc-monolith,18.20%,62.69MiB / 15.31GiB,0.40%
2026-09-18T21:40:20.134280,50.0,tcc-postgres,1.79%,56.41MiB / 15.31GiB,0.36%
2026-09-18T21:40:23.133868,55.0,tcc-monolith,17.43%,62.69MiB / 15.31GiB,0.40%
2026-09-18T21:40:25.143624,55.0,tcc-postgres,3.77%,56.41MiB / 15.31GiB,0.36%
2026-09-18T21:40:28.130489,60.0,tcc-monolith,25.08%,62.67MiB / 15.31GiB,0.40%
2026-09-18T21:40:30.135978,60.0,tcc-postgres,2.02%,56.41MiB / 15.31GiB,0.36%
2026-09-18T21:40:33.157563,65.0,tcc-monolith,18.83%,62.69MiB / 15.31GiB,0.40%
2026-09-18T21:40:35.168825,65.0,tcc-postgres,2.01%,56.41MiB / 15.31GiB,0.36%
2026-09-18T21:40:38.128663,70.0,tcc-monolith,19.65%,62.82MiB / 15.31GiB,0.40%
2026-09-18T21:40:40.136628,70.0,tcc-postgres,2.02%,56.41MiB / 15.31GiB,0.36%
2026-09-18T21:40:43.129491,75.0,tcc-monolith,36.24%,62.66MiB / 15.31GiB,0.40%
2026-09-18T21:40:45.134362,75.0,tcc-postgres,3.14%,56.41MiB / 15.31GiB,0.36%
2026-09-18T21:40:48.140556,80.0,tcc-monolith,28.96%,62.66MiB / 15.31GiB,0.40%
2026-09-18T21:40:50.148824,80.0,tcc-postgres,2.29%,56.41MiB / 15.31GiB,0.36%
2026-09-18T21:40:53.144180,85.0,tcc-monolith,16.06%,62.77MiB / 15.31GiB,0.40%
2026-09-18T21:40:55.153277,85.0,tcc-postgres,1.91%,56.41MiB / 15.31GiB,0.36%
2026-09-18T21:40:58.132471,90.0,tcc-monolith,15.35%,62.66MiB / 15.31GiB,0.40%
2026-09-18T21:41:00.141914,90.0,tcc-postgres,1.69%,56.41MiB / 15.31GiB,0.36%
2026-09-18T21:41:03.128228,95.0,tcc-monolith,17.69%,62.78MiB / 15.31GiB,0.40%
2026-09-18T21:41:05.138826,95.0,tcc-postgres,2.28%,56.41MiB / 15.31GiB,0.36%
2026-09-18T21:41:08.130886,100.0,tcc-monolith,21.83%,62.67MiB / 15.31GiB,0.40%
2026-09-18T21:41:10.140765,100.0,tcc-postgres,1.75%,56.41MiB / 15.31GiB,0.36%
2026-09-18T21:41:13.126344,105.0,tcc-monolith,19.75%,62.68MiB / 15.31GiB,0.40%
2026-09-18T21:41:15.136884,105.0,tcc-postgres,2.10%,56.41MiB / 15.31GiB,0.36%
2026-09-18T21:41:18.127040,110.0,tcc-monolith,16.00%,62.8MiB / 15.31GiB,0.40%
2026-09-18T21:41:20.140177,110.0,tcc-postgres,1.63%,56.41MiB / 15.31GiB,0.36%
2026-09-18T21:41:23.135793,115.0,tcc-monolith,18.70%,62.87MiB / 15.31GiB,0.40%
2026-09-18T21:41:25.143966,115.0,tcc-postgres,1.58%,56.41MiB / 15.31GiB,0.36%
